"lb" "mle" "ub" "ce" "Z" "cZ"
"Map1b" -9.49896312645734 -6.60021851040229 -2.63116818995766 -2.63116818995766 -3.23152794649802 -1.88327662776176
"Rps3a1" -6.42183422633736 -3.61228175231476 -1.38247820150318 -1.38247820150318 -3.22956679105377 -1.88288443616869
"Rpl41" -5.57450887702895 -3.25551318418491 -1.24868998845449 -1.24868998845449 -3.22291966414316 -1.87525552693169
"Sept2" -5.30693245093156 -3.21091711316867 -1.24868998845449 -1.24868998845449 -3.20878269448809 -1.85602537269022
"Gars" -9.23138670035995 -6.37723815532111 -2.49737997690897 -2.49737997690897 -3.20105376479188 -1.84887824441575
"Rps19" -5.61910494804519 -3.21091711316867 -1.24868998845449 -1.24868998845449 -3.18871091348814 -1.83530327883404
"1110038B12Rik" -8.16108099597037 -4.32581888857447 -1.6946506986168 -1.6946506986168 -3.18507055733545 -1.83222479883505
"Tead2" -9.27598277137616 -6.42183422633736 -2.45278390589274 -2.45278390589274 -3.17238304391101 -1.81506043730826
"Hnrnpab" -7.17996743361327 -3.92445424942839 -1.56086248556811 -1.56086248556811 -3.16638210373511 -1.80827299678632
"Nme1" -7.71512028580808 -4.01364639146084 -1.51626641455187 -1.51626641455187 -3.16113857868 -1.8040551722772
"Fam136a" -9.18679062934371 -6.28804601328866 -2.40818783487651 -2.40818783487651 -3.1604070118533 -1.8040551722772
"Snrpg" -8.42865742206776 -4.37041495959071 -1.65005462760057 -1.65005462760057 -3.15645445136956 -1.80042253767863
"Sept3" -8.74082991918139 -4.45960710162316 -1.73924676963303 -1.73924676963303 -3.15269622934168 -1.79842173081216
"Hint1" -5.84208530312634 -3.38930139723361 -1.29328605947072 -1.29328605947072 -3.15034689754445 -1.79842173081216
"Tyms" -8.74082991918139 -5.97587351617503 -2.18520747979535 -2.18520747979535 -3.14052669636303 -1.78558272405914
"Luc7l" -5.30693245093156 -3.03253282910375 -1.15949784642202 -1.15949784642202 -3.13769775109536 -1.78364386567247
"Usp37" -7.40294778869445 -4.19203067552577 -1.60545855658434 -1.60545855658434 -3.1335746743048 -1.78352655325298
"Hnrnpu" -5.52991280601271 -3.21091711316867 -1.20409391743825 -1.20409391743825 -3.13090367776813 -1.78352655325298
"Ptprs" -4.86097174076924 -2.85414854503882 -1.07030570438956 -1.07030570438956 -3.13057466015914 -1.78352655325298
"Thrsp" -6.15425780023997 -3.56768568129852 -1.38247820150318 -1.38247820150318 -3.12979668182188 -1.78352655325298
"Hdgf" -6.28804601328866 -3.56768568129852 -1.29328605947072 -1.29328605947072 -3.10202272147088 -1.74488067117134
"Psmc2" -7.80431242784053 -4.32581888857447 -1.60545855658434 -1.60545855658434 -3.09561659688404 -1.73722610781467
"Pak3" -8.56244563511645 -4.01364639146084 -1.47167034353564 -1.47167034353564 -3.09029863979293 -1.73126758656992
"Zc3h12c" -9.14219455832747 -6.24344994227242 -2.31899569284404 -2.31899569284404 -3.08362567976272 -1.72315741065604
"Csda" -8.69623384816518 -5.84208530312634 -2.00682319573042 -2.00682319573042 -3.07858154564601 -1.71760011837896
"Ssb" -5.6637010190614 -3.25551318418491 -1.20409391743825 -1.20409391743825 -3.07592643768873 -1.71580289254507
"Ywhae" -4.86097174076924 -2.89874461605505 -1.07030570438956 -1.07030570438956 -3.07023438508221 -1.70919746171534
"Fam120a" -5.30693245093156 -3.12172497113621 -1.11490177540579 -1.11490177540579 -3.06512427045625 -1.7045890923633
"Mapk1ip1l" -6.77860279446719 -3.656877823331 -1.33788213048695 -1.33788213048695 -3.06383339921599 -1.7045890923633
