"lb" "mle" "ub" "ce" "Z" "cZ"
"Slc16a1" -6.58487947617756 -3.60815313763153 -1.84917848303616 -1.84917848303616 -4.35950526437051 -3.32982227536671
"Rab6a" -3.65325505185195 -2.25509571101971 -1.21775168395065 -1.21775168395065 -4.35920023171387 -3.32982227536671
"Pdxk" -6.44957373351637 -3.69835696607234 -1.84917848303616 -1.84917848303616 -4.35610014803175 -3.32808018008143
"Fam84a" -6.26916607663479 -3.33754165230918 -1.75897465459538 -1.75897465459538 -4.34933009048676 -3.32165405502627
"Nptx1" -6.81038904727952 -4.0140703656151 -2.02958613991774 -2.02958613991774 -4.34288023396274 -3.31781739369972
"Dbi" -3.60815313763153 -2.52570719634208 -1.39815934083222 -1.39815934083222 -4.34122846906642 -3.31781739369972
"Car3" -6.62998139039795 -3.87876462295391 -1.98448422569735 -1.98448422569735 -4.33629617157189 -3.31367126514473
"Anxa3" -7.03589861838152 -4.23957993671707 -2.20999379679932 -2.20999379679932 -4.32913462881803 -3.30667596498772
"Slc4a4" -6.53977756195717 -3.78856079451311 -1.93938231147695 -1.93938231147695 -4.32694714425279 -3.30599266036599
"Cd63" -3.69835696607234 -2.3452995394605 -1.26285359817104 -1.26285359817104 -4.31451151950484 -3.29225878115589
"Fndc3b" -6.49467564773679 -3.74345888029272 -1.89428039725656 -1.89428039725656 -4.30859204239843 -3.28680033641843
"Wwtr1" -6.58487947617756 -3.83366270873353 -1.93938231147695 -1.93938231147695 -4.27299929512188 -3.24347384438003
"Gpi1" -3.9238665371743 -2.39040145368089 -1.26285359817104 -1.26285359817104 -4.26258543586517 -3.23223365611677
"Igfbp4" -6.44957373351637 -3.69835696607234 -1.84917848303616 -1.84917848303616 -4.24358730014307 -3.20997943513251
"Fam195b" -3.87876462295391 -2.39040145368089 -1.26285359817104 -1.26285359817104 -4.24096281625124 -3.20867735857326
"Trib2" -4.23957993671707 -2.43550336790129 -1.26285359817104 -1.26285359817104 -4.22041711181066 -3.1879023382604
"Jam2" -4.91610865002299 -2.43550336790129 -1.17264976973025 -1.17264976973025 -4.21599536840965 -3.18479728983561
"Rhoq" -4.87100673580257 -2.84142059588484 -1.44326125505262 -1.44326125505262 -4.19811327666779 -3.1638491408725
"Ctsd" -4.41998759359864 -2.66101293900326 -1.35305742661183 -1.35305742661183 -4.16412416816738 -3.12410820983957
"Sema6d" -6.13386033397364 -3.1120320812072 -1.5334650834934 -1.5334650834934 -4.1585338268134 -3.11889542187076
"Pmm1" -4.7808029073618 -2.70611485322366 -1.35305742661183 -1.35305742661183 -4.15023724510787 -3.11215403031345
"Car8" -6.49467564773679 -3.69835696607234 -1.80407656881577 -1.80407656881577 -4.13756842926929 -3.09777021129847
"Gabrg1" -6.44957373351637 -3.69835696607234 -1.80407656881577 -1.80407656881577 -4.12097430151517 -3.08023884562421
"Cxadr" -5.81814693443087 -2.88652251010523 -1.48836316927301 -1.48836316927301 -4.11423847395217 -3.07540151035624
"Spred1" -6.3593699050756 -3.60815313763153 -1.75897465459538 -1.75897465459538 -4.10923437544977 -3.07085141199551
"Mical2" -6.40447181929598 -3.65325505185195 -1.75897465459538 -1.75897465459538 -4.10507414710194 -3.06738154049471
"Cnn2" -6.40447181929598 -3.65325505185195 -1.75897465459538 -1.75897465459538 -4.07380719954448 -3.02878553512201
"Atp1a2" -6.49467564773679 -3.60815313763153 -1.71387274037498 -1.71387274037498 -4.07075055964554 -3.02672511193434
"Acer3" -6.26916607663479 -3.51794930919076 -1.66877082615459 -1.66877082615459 -4.05697110198234 -3.01072868827052
"Ccdc141" -5.99855459131245 -3.1120320812072 -1.5334650834934 -1.5334650834934 -4.0477394463362 -3.00062041046396
"Cryab" -6.31426799085521 -3.51794930919076 -1.66877082615459 -1.66877082615459 -4.04381541122924 -2.99740279850998
"Prdx6" -3.33754165230918 -2.16489188257893 -1.12754785550986 -1.12754785550986 -4.03749088438181 -2.99228202317647
"Sfxn1" -4.05917227983549 -2.30019762524011 -1.12754785550986 -1.12754785550986 -4.01520015264062 -2.96760934727532
"Tspan12" -3.78856079451311 -2.43550336790129 -1.17264976973025 -1.17264976973025 -3.99869759305108 -2.94793022805942
