"lb" "mle" "ub" "ce" "Z" "cZ"
"Cyb5r3" -4.07149342120786 -2.16851280042593 -0.885107265479968 -0.885107265479968 -3.45900876904024 -2.33505050443873
"Rpsa" -2.9651093393579 -1.81446989423394 -0.840851902205968 -0.840851902205968 -3.45581286736048 -2.33505050443873
"Atp1a2" -5.97447404198977 -3.18638615572789 -1.28340553494595 -1.28340553494595 -3.45152237811298 -2.3306846492442
"Golph3" -4.20425951102986 -2.12425743715192 -0.885107265479968 -0.885107265479968 -3.44981858553797 -2.32990375143837
"Bhlhe41" -5.84170795216781 -3.09787542917989 -1.23915017167195 -1.23915017167195 -3.41441051911649 -2.29007528385773
"Ifngr2" -5.93021867871577 -3.18638615572789 -1.28340553494595 -1.28340553494595 -3.41032867553068 -2.28594361987208
"Fgfr1" -4.64681314376982 -2.25702352697392 -0.929362628753964 -0.929362628753964 -3.38323364692763 -2.25470864293527
"Npl" -5.88596331544178 -3.14213079245389 -1.23915017167195 -1.23915017167195 -3.38269660163759 -2.25470864293527
"Zfp719" -5.88596331544178 -3.18638615572789 -1.23915017167195 -1.23915017167195 -3.38065383712568 -2.25470864293527
"Ctsl" -4.07149342120786 -2.08000207387793 -0.885107265479968 -0.885107265479968 -3.3712184930895 -2.24362713576022
"Six3os1" -5.88596331544178 -3.14213079245389 -1.23915017167195 -1.23915017167195 -3.34965884862223 -2.21642436242626
"Ntm" -4.91234532341382 -2.43404498006991 -0.973617992027967 -0.973617992027967 -3.34403601293723 -2.21157277085244
"Shroom2" -6.01872940526377 -3.27489688227588 -1.28340553494595 -1.28340553494595 -3.34286525379902 -2.21144753353751
"Frmd4a" -4.02723805793386 -2.12425743715192 -0.840851902205968 -0.840851902205968 -3.33921604996616 -2.20934208339282
"Qk" -3.49617369864587 -2.30127889024792 -0.973617992027967 -0.973617992027967 -3.32895540692374 -2.19791345063044
"Sepn1" -5.93021867871577 -2.9651093393579 -1.15063944512396 -1.15063944512396 -3.31329161931495 -2.18032865502089
"Fdps" -3.23064151900188 -1.77021453095994 -0.708085812383973 -0.708085812383973 -3.28354108966594 -2.14421353806582
"Glb1" -5.79745258889381 -3.05362006590589 -1.15063944512396 -1.15063944512396 -3.27894768909071 -2.14046974734478
"Stk39" -5.79745258889381 -3.05362006590589 -1.15063944512396 -1.15063944512396 -3.26059026707336 -2.11755761442464
"Gm5148" -3.00936470263189 -1.81446989423394 -0.708085812383973 -0.708085812383973 -3.25098524852119 -2.10978630749556
"Hepacam" -3.58468442519386 -1.94723598405593 -0.752341175657973 -0.752341175657973 -3.24942270094834 -2.10902604888806
"Actr3" -3.23064151900188 -1.81446989423394 -0.752341175657973 -0.752341175657973 -3.24365693475669 -2.10518393381645
"Ifitm3" -5.79745258889381 -3.09787542917989 -1.15063944512396 -1.15063944512396 -3.21487118783316 -2.06845188223335
"Lamc1" -4.33702560085186 -2.12425743715192 -0.796596538931972 -0.796596538931972 -3.21008936916885 -2.0630564436795
"Mical1" -5.79745258889381 -3.05362006590589 -1.15063944512396 -1.15063944512396 -3.20882245381095 -2.06268924016417
