"CD31_young" "CD31_young.1" "CD31_young.2" "CD31_young.3" "E_young" "E_young.1" "E_young.2" "E_young.3" "G_young" "G_young.1" "G_young.2" "G_young.3" "PG_young" "PG_young.1" "PGE_young" "PGE_young.1" "PGE_young.2"
"Megf10" 2 8 9 0 86 224 56 151 3070 5789 2058 4346 5310 2688 264 561 139
"Megf11" 45 10 0 0 40 35 46 345 247 152 0 309 93 16 143 37 151
"Megf6" 359 251 137 380 59 26 0 2 0 0 0 0 0 0 0 0 67
"Megf8" 574 94 0 114 43 238 103 73 198 200 12 146 234 201 211 21 193
"Megf9" 173 258 0 0 33 43 257 269 44 0 0 0 64 2 164 27 146
"Mei1" 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mei4" 13 11 0 0 15 17 0 54 0 0 0 0 0 0 0 0 1
"Meig1" 0 0 0 0 0 0 0 4 47 133 0 91 71 0 0 0 64
"Meiob" 34 0 0 0 0 13 0 0 0 0 0 2 0 0 21 0 32
"Meis1" 0 0 0 17 947 230 600 527 479 690 1229 573 808 570 371 865 884
"Meis2" 8 5 87 3 2240 2353 3204 2888 2000 3661 2630 1758 2451 2226 2706 1994 3032
"Meis3" 6 0 0 0 76 435 104 97 253 426 141 298 2 356 355 514 132
"Melk" 0 1 0 1 670 1079 1374 1660 0 0 4 4 0 0 1379 1321 1236
"Memo1" 95 585 1692 734 247 1652 751 1922 707 1085 763 1480 1263 897 876 377 1985
"Men1" 23 342 234 755 540 1005 473 360 833 260 37 382 345 106 500 1041 758
"Meox1" 0 273 1149 159 0 0 0 0 0 0 0 0 0 0 1 0 1
"Meox2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mep1a" 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mep1b" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"Mepce" 39 0 1290 720 232 638 1179 513 600 232 909 246 719 406 1232 124 588
"Mepe" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mertk" 592 81 1232 542 23 22 9 22 2784 4266 1950 2583 1994 2225 4 1 66
"Mesdc1" 23 623 1425 286 0 14 0 75 39 179 7 0 112 254 89 0 83
"Mesdc2" 2274 276 879 1399 1787 1793 1325 1512 1966 166 962 1324 297 347 2833 2887 1740
"Mesp1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mesp2" 0 0 0 0 8 0 0 68 0 0 0 0 2 0 81 46 0
"Mest" 28 187 0 143 126 435 193 214 472 2 250 487 29 13 518 106 385
"Met" 9 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
"Metap1" 1159 236 101 18 399 424 396 617 112 338 35 797 536 134 562 1174 470
"Metap1d" 1 215 0 264 1419 2344 1047 1962 153 715 1031 427 845 1066 1138 1766 1738
"Metap2" 1443 2281 1342 2712 4069 4909 4849 5013 7154 5375 2547 2572 2625 1551 5304 6258 5428
"Metrn" 0 9 1 83 571 159 40 36 579 424 531 452 489 236 102 62 234
"Metrnl" 0 1 0 0 0 1 18 7 224 75 0 7 363 75 45 0 37
"Mettl1" 5 5 9 3 2323 3095 2187 2434 772 409 159 116 322 126 3233 4664 3746
"Mettl10" 1713 1772 2724 438 3752 7448 6259 6337 2931 1912 1289 2794 2622 1955 5798 4674 6693
"Mettl11b" 0 0 0 0 66 3 0 14 150 345 560 341 195 192 0 0 0
"Mettl13" 25 0 0 0 517 86 140 127 0 45 0 0 0 50 23 544 114
"Mettl14" 0 2 93 232 112 608 556 458 665 296 1114 306 188 273 638 734 538
"Mettl15" 14 3 106 679 811 524 1042 993 436 852 661 55 607 107 1166 1482 1012
"Mettl16" 246 359 375 546 881 1004 735 564 20 301 432 767 235 5 1061 1067 950
"Mettl17" 359 173 929 623 1503 625 736 740 638 551 670 542 266 443 614 356 720
"Mettl18" 16 351 335 293 0 186 86 308 52 154 0 37 480 196 58 0 197
"Mettl2" 58 1203 853 585 764 1001 749 546 554 222 12 653 277 123 795 572 1171
"Mettl20" 623 553 0 1 230 435 527 480 1153 2495 292 1015 493 132 709 1353 495
"Mettl21a" 4 1 0 634 551 640 817 668 1192 998 0 1557 785 674 749 1206 1417
"Mettl21c" 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mettl21d" 3 658 450 0 6 122 61 75 0 188 0 58 13 22 92 96 179
"Mettl21e" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Mettl22" 31 1 12 49 1320 703 567 462 629 717 897 921 583 494 1151 391 893
"Mettl23" 987 992 601 742 2600 1587 1209 1444 1846 2611 2338 1649 1437 1325 1883 2671 1328
"Mettl24" 0 0 0 0 0 0 10 11 30 5 0 131 73 0 0 0 0
"Mettl25" 0 133 0 78 130 124 388 119 3 222 433 36 78 160 252 52 160
"Mettl3" 44 180 642 82 325 299 660 381 79 466 0 427 663 355 585 500 466
"Mettl4" 0 1103 0 1 44 167 451 453 37 1180 0 0 86 3 148 2 415
"Mettl5" 2565 1616 2773 1002 1816 3305 2313 3190 1747 686 784 1221 816 1056 3626 3270 2957
"Mettl6" 403 130 1108 177 915 984 1398 893 107 273 3 278 322 740 1398 1498 1095
"Mettl7a1" 0 27 220 72 463 71 4 45 247 377 742 1282 569 707 160 75 147
"Mettl7a2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0
"Mettl7a3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mettl7b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mettl8" 548 0 8 0 349 294 249 609 1439 370 951 1001 335 7 383 2057 497
"Mettl9" 512 761 1243 581 1246 1965 1265 1592 579 1246 1658 807 402 288 1708 1120 1432
"Mex3a" 21 4 266 170 1760 2729 1372 1820 356 122 739 497 127 13 1622 1222 2024
"Mex3b" 200 208 26 0 407 526 417 891 23 233 261 199 1 6 607 380 810
"Mex3c" 0 1255 322 1141 417 459 268 1004 778 1011 463 454 1844 463 518 200 682
"Mex3d" 53 169 0 0 32 316 276 340 14 41 196 46 44 18 207 279 259
"Mfap1a" 91 1324 2990 464 198 556 907 497 1049 923 4 525 873 751 594 342 596
"Mfap1b" 51 35 313 130 217 132 111 192 368 203 112 193 219 106 115 147 129
"Mfap2" 81 33 51 43 40959 48096 40331 29236 1054 845 1850 1466 403 1086 56261 62296 51091
"Mfap3" 344 2065 549 2243 1506 1148 938 2302 767 1020 1042 495 998 1008 1213 1826 1164
"Mfap3l" 1 7 154 0 101 2 17 0 2728 4368 2877 4084 3717 3398 8 0 9
"Mfap4" 3 0 0 1 832 922 950 1065 2 0 2 5 3 10 1574 2456 1260
"Mfap5" 0 0 0 0 185 0 0 14 0 47 0 0 0 0 0 0 0
"Mff" 3389 1940 766 741 106 619 882 999 1447 2250 1688 2034 1725 970 778 1199 683
"Mfge8" 1097 408 61 687 15375 6765 9169 8891 35586 14948 21194 21515 13854 21004 21362 29641 15524
"Mfhas1" 7402 5231 9026 5262 2 193 299 132 2281 2310 1411 3004 1398 2829 288 426 413
"Mfi2" 0 38 0 5 0 0 0 0 0 0 0 4 0 0 0 0 0
"Mfn1" 957 1875 888 112 354 250 435 581 2674 1792 3360 3722 2105 2422 442 13 726
"Mfn2" 493 1401 1343 363 277 597 204 349 319 410 602 694 633 266 262 485 412
"Mfng" 185 991 343 1237 1166 1087 831 1110 65 0 3 1 0 32 1463 2430 1612
"Mfrp" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mfsd1" 904 3166 1195 1431 454 208 645 357 1388 836 748 1374 316 580 555 239 437
"Mfsd10" 1 0 412 16 453 211 210 436 28 134 99 0 17 225 368 2 381
"Mfsd11" 937 123 578 493 429 185 375 224 2238 985 1131 1001 1608 773 578 485 593
"Mfsd12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mfsd2a" 7034 7997 11409 4614 2 35 6 7 3202 818 1150 1382 1318 2891 16 5 54
"Mfsd2b" 0 0 0 4 0 0 10 0 0 0 0 0 0 7 1 0 33
"Mfsd3" 37 0 0 0 102 112 91 389 1782 3 0 259 2 294 120 95 37
"Mfsd4" 420 46 12 105 99 44 19 157 8 8 0 75 1 20 160 0 325
"Mfsd5" 102 301 2 277 43 76 96 197 738 482 589 240 287 546 233 620 404
"Mfsd6" 1036 1149 1126 568 287 154 74 29 4 2 33 82 263 4 96 262 175
"Mfsd6l" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mfsd7a" 26 1 0 0 4 0 0 0 3 21 427 0 15 50 0 0 0
"Mfsd7b" 29 1637 0 121 426 143 391 519 443 726 230 675 1549 601 107 289 328
"Mfsd7c" 878 1359 123 1069 20 1 3 0 0 18 0 367 67 3 0 0 0
"Mfsd8" 2 100 713 225 232 344 199 471 894 261 300 188 45 159 337 368 256
"Mfsd9" 0 0 0 0 3 0 0 0 0 98 0 125 191 0 33 0 0
"Mga" 1144 1932 4498 2520 1680 1419 2292 2427 3134 4066 1572 4545 4762 2505 2330 2699 2989
"Mgam" 26 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mgarp" 0 48 0 0 110 0 47 0 1 0 0 0 0 0 73 0 0
"Mgat1" 1608 882 1605 216 269 347 283 235 1861 606 72 313 229 34 725 306 516
"Mgat2" 351 1989 1093 915 54 593 505 312 284 294 9 257 362 587 208 217 510
"Mgat3" 24 0 0 5 138 97 116 138 675 10 212 328 11 355 126 38 126
"Mgat4a" 132 37 129 81 0 11 3 223 0 64 0 3 0 2 0 291 41
"Mgat4b" 14 0 0 0 23 11 11 69 1 7 0 2 0 0 5 0 3
"Mgat4c" 0 0 0 0 0 4 0 0 420 1623 226 1650 311 626 0 0 2
"Mgat5" 0 743 0 9 1 8 166 58 185 501 32 434 124 2 97 5 63
"Mgat5b" 8 0 0 9 26 0 0 5 0 125 0 33 0 1 0 4 0
"Mgea5" 3617 2268 3640 2617 1233 1924 1827 2524 3754 2687 3111 2002 4472 2080 1948 2374 1897
"Mgl2" 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mgll" 5160 1878 4775 2164 3 1 9 2 3463 3743 2284 3716 2692 2697 6 4 25
"Mgme1" 0 191 716 95 1464 577 895 776 98 322 3 2 382 2 1357 1149 1202
"Mgmt" 695 1 301 0 63 237 304 157 313 110 0 147 1 4 393 322 114
"Mgp" 2532 2147 1475 853 0 11 0 461 0 2 0 286 0 0 20 0 1
"Mgrn1" 16 1612 717 247 523 368 149 332 1535 215 268 875 1086 514 722 233 298
"Mgst1" 7015 5617 8190 3107 4952 5335 3873 3480 32930 32490 34255 30838 29443 26686 6831 6534 7122
"Mgst2" 7 0 0 325 0 0 0 2 0 0 0 0 0 0 0 0 19
"Mgst3" 1819 2173 3611 2208 1881 2893 1882 1306 2110 831 1752 1550 1865 1166 2099 1849 1907
"Mia" 2 35 1 7 20 190 5 17 1281 295 233 181 815 269 90 227 174
"Mia2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mia3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Miat" 8 1 19 3 1346 2789 2668 2253 142 156 19 270 39 48 4350 5814 3429
"Mib1" 88 385 461 2 62 165 182 296 228 620 639 436 688 657 52 119 266
"Mib2" 20 31 71 0 16 20 37 58 79 315 72 413 14 116 47 0 22
"Mical1" 292 1198 3 199 223 351 176 229 421 383 116 419 162 902 144 55 369
"Mical2" 17 68 9 2 10 34 54 119 827 483 1031 1151 563 1145 0 15 13
"Mical3" 308 106 2721 3 111 109 69 104 237 135 343 483 412 176 138 215 346
"Micalcl" 0 0 0 26 2 40 51 71 6 50 832 344 6 176 52 386 164
"Micall1" 36 338 0 93 34 99 112 51 95 240 19 188 203 214 48 119 216
"Micall2" 7 114 0 0 0 0 0 0 0 12 43 350 71 1 0 0 4
"Micu1" 0 166 126 376 271 657 416 962 706 686 1328 591 463 85 1157 188 528
"Mid1" 335 1 1366 381 419 156 363 599 1 56 682 189 287 3 143 397 332
"Mid1ip1" 10 446 2 421 430 367 333 543 535 1143 1662 2103 2023 869 763 223 478
"Mid2" 350 2 727 105 0 9 18 24 369 593 466 332 686 148 181 0 7
"Midn" 218 62 1206 184 385 696 704 566 477 932 336 902 618 172 724 591 784
"Mien1" 4360 4227 2597 2212 4077 7651 6658 5521 3637 2585 4009 3667 4243 3870 6927 7193 7293
"Mier1" 3303 6192 4948 3772 1347 1386 2547 2904 4423 5599 2997 7394 5319 2120 2037 3662 1939
"Mier2" 55 51 0 42 3 113 14 8 89 205 17 43 132 0 60 0 71
"Mier3" 358 1960 2149 1792 139 1058 1705 1817 3932 4272 1470 4716 2295 823 1515 2801 1583
"Mif" 7079 5025 6564 2503 36273 44830 32660 21261 14814 6817 6954 5517 7700 7078 30742 27578 30002
"Mif4gd" 3071 1190 3798 1225 227 346 170 236 2292 1349 1052 1949 1205 837 512 371 272
"Miip" 1184 85 624 68 278 712 723 1094 2635 578 624 521 1123 438 1356 614 571
"Mill1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mill2" 19 83 205 108 0 0 0 0 0 0 0 0 0 0 0 0 0
"Milr1" 0 0 0 0 0 13 164 21 78 188 0 24 99 13 70 4 31
"Mina" 0 0 236 56 0 210 339 248 48 0 30 1 2 0 300 718 183
"Mink1" 582 187 47 209 4 41 68 156 136 920 471 143 553 215 179 9 6
"Minos1" 7868 12476 11226 7150 19446 29977 23373 17434 4170 5681 5116 3876 6524 5857 20012 18675 22849
"Minpp1" 617 817 477 327 209 225 261 581 264 688 219 1 78 63 313 8 367
"Mios" 1 6 55 288 149 434 421 216 175 620 0 82 465 18 375 736 391
"Miox" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mip" 1 0 0 1 252 149 0 29 0 0 0 0 2 0 2 0 37
"Mipep" 2 0 2 427 1 338 384 32 496 3 1 511 124 47 427 454 520
"Mipol1" 0 0 0 648 126 442 386 330 287 64 10 11 254 117 192 880 408
"Mir100" 0 0 0 0 12 44 59 38 58 59 1 8 201 0 27 0 73
"Mir101a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir101b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir101c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir103-1" 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 1 0
"Mir103-2" 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0
"Mir105" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir106a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir106b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir107" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir10a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir10b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1186" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1186b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1187" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1188" 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
"Mir1190" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1192" 244 0 0 0 0 0 0 0 0 194 75 31 97 0 11 6 0
"Mir1193" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1196" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1197" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1199" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1224" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir122a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1247" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1249" 0 0 0 0 0 0 0 0 41 0 0 0 0 0 0 0 0
"Mir124a-1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir124a-2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
"Mir124a-3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1251" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir125a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir125b-1" 0 0 0 0 14 6 0 3 14 7 0 100 24 0 0 28 0
"Mir125b-2" 0 0 0 0 0 0 0 4 2 2 19 1 0 0 0 0 0
"Mir126" 63 71 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1264" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir127" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir128-1" 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir128-2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir129-1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir129-2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1298" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1306" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir130a" 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0
"Mir130b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir132" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir133a-1" 0 0 0 0 0 0 8 18 0 0 0 0 0 0 0 0 0
"Mir133a-2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir133b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir134" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir135a-1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir135a-2" 0 0 0 0 0 0 0 0 24 58 48 13 32 9 5 0 8
"Mir135b" 0 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir136" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir137" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir138-1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir138-2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir139" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir140" 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
"Mir141" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir142" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir143" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir143hg" 0 0 0 0 0 0 0 52 29 1 0 0 0 0 0 0 0
"Mir144" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir145" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir146" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir146b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir147" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir148a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir148b" 0 0 0 0 0 0 0 0 0 0 0 24 0 4 0 0 0
"Mir149" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir150" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir152" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir153" 0 0 0 0 0 74 73 31 11 0 8 0 0 0 60 56 2
"Mir154" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir155" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir15a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir15b" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"Mir16-1" 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0
"Mir16-2" 0 0 0 0 0 0 1 2 0 0 5 0 0 0 0 0 0
"Mir17" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir17hg" 17 264 0 1 948 487 933 1071 0 219 3 0 457 7 441 398 535
"Mir18" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir181a-1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir181a-2" 0 0 0 0 0 0 0 8 4 68 50 98 0 0 5 0 0
"Mir181b-1" 0 0 0 0 0 0 7 33 0 0 0 0 5 0 0 0 0
"Mir181b-2" 0 0 0 0 0 0 0 69 19 47 31 84 0 0 0 0 1
"Mir181c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir181d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir182" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir183" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1839" 0 0 0 0 0 0 0 0 0 20 0 0 0 0 6 0 0
"Mir184" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1843" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1843b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir185" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir186" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir187" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir188" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1892" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1893" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1894" 0 0 0 0 0 14 0 39 0 3 2 47 0 0 0 0 1
"Mir1895" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1896" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1897" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1898" 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0
"Mir1899" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir18b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir190" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1900" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1901" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1902" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1903" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1904" 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0
"Mir1905" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1906-1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1906-2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1907" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3
"Mir190b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir191" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1912" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir192" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1929" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir193" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1930" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1931" 0 1 0 0 0 14 5 0 0 2 112 0 0 0 0 0 4
"Mir1932" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1933" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Mir1934" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1936" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1938" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir193b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir194-1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir194-2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1940" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1941" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1942" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1943" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1945" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1946a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1947" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1948" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1949" 8 0 0 0 0 31 18 30 0 0 0 0 0 0 40 0 35
"Mir195" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1951" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1952" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1953" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1955" 0 46 0 137 0 1 47 34 0 76 36 0 236 0 5 10 29
"Mir1956" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1960" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1961" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1962" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1963" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1964" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1965" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1966" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1967" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1968" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1969" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir196a-1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir196a-2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir196b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1971" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1981" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mir1982" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
