"name" "input" "mapped" "4" "5"
"V37" "1-Na-C14" "201285" "146579" "aNSC_A_14_1g" "aNSC-mid"
"V38" "1-Na-C17" "206571" "160793" "aNSC_A_17_1g" "aNSC-early"
"V39" "1-Na-C21" "96695" "67802" "aNSC_A_21_1g" "aNSC-late"
"V40" "1-Na-C24" "127815" "93369" "aNSC_A_24_1g" "aNSC-early"
"V44" "1-Na-C30" "143182" "102280" "aNSC_A_30_1g" "aNSC-mid"
"V45" "1-Na-C33" "294673" "220460" "aNSC_A_33_1g" "aNSC-late"
"V46" "1-Na-C34" "201866" "138382" "aNSC_A_34_1g" "aNSC-late"
"V47" "1-Na-C35" "229056" "163915" "aNSC_A_35_1g" "aNSC-mid"
"V48" "1-Na-C38" "195253" "138975" "aNSC_A_38_1g" "aNSC-mid"
"V53" "1-Na-C45" "185765" "117473" "aNSC_A_45_1g" "aNSC-late"
"V56" "1-Na-C48" "132617" "92994" "aNSC_A_48_1g" "aNSC-early"
"V58" "1-Na-C57" "171586" "89897" "aNSC_A_57_1g" "aNSC-late"
"V62" "1-Na-C62" "162571" "116057" "aNSC_A_62_1g" "aNSC-late"
"V63" "1-Na-C63" "162943" "97862" "aNSC_A_63_1g" "aNSC-mid"
"V64" "1-Na-C64" "157458" "113270" "aNSC_A_64_1g" "aNSC-mid"
"V65" "1-Na-C65" "249568" "161990" "aNSC_A_65_1g" "aNSC-early"
"V66" "1-Na-C66" "219722" "157644" "aNSC_A_66_1g" "aNSC-mid"
"V67" "1-Na-C69" "88681" "60562" "aNSC_A_69_1g" "aNSC-late"
"V69" "1-Na-C71" "138774" "101775" "aNSC_A_71_1g" "aNSC-late"
"V72" "1-Na-C77" "268203" "166969" "aNSC_A_77_1g" "aNSC-mid"
"V74" "1-Na-C80" "199141" "146814" "aNSC_A_80_1g" "aNSC-mid"
"V75" "1-Na-C81" "289599" "212370" "aNSC_A_81_1g" "aNSC-early"
"V76" "1-Na-C83" "214890" "94113" "aNSC_A_83_1g" "NPC-like"
"V77" "1-Na-C85" "167148" "66011" "aNSC_A_85_1g" "aNSC-early"
"V78" "1-Na-C92" "161373" "104377" "aNSC_A_92_1g" "aNSC-late"
"V79" "1-Na-C94" "162445" "110333" "aNSC_A_94_1g" "aNSC-mid"
"V80" "1-Na-C95" "105371" "51373" "aNSC_A_95_1g" "aNSC-late"
"V33" "1-PGE-C02" "112585" "78308" "aNSC_B_02_1g" "aNSC-late"
"V34" "1-PGE-C04" "166610" "118358" "aNSC_B_04_1g" "NPC-like"
"V35" "1-PGE-C05" "175772" "121210" "aNSC_B_05_1g" "aNSC-late"
"V36" "1-PGE-C06" "179631" "120926" "aNSC_B_06_1g" "aNSC-late"
"V37" "1-PGE-C09" "177403" "132317" "aNSC_B_09_1g" "aNSC-late"
"V38" "1-PGE-C10" "259159" "199560" "aNSC_B_10_1g" "aNSC-early"
"V39" "1-PGE-C12" "280328" "209295" "aNSC_B_12_1g" "aNSC-mid"
